idx,name_ko,recommendation
43,코지,"[{'id': 91, 'title': '디카페인 볼루토'}, {'id': 90, 'title': '볼루토'}, {'id': 19, 'title': '로사바야 데 콜롬비아'}, {'id': 41, 'title': '콜롬비아'}, {'id': 72, 'title': '페루 오가닉'}, {'id': 68, 'title': '노치올라'}, {'id': 38, 'title': '초콜라티노'}, {'id': 86, 'title': '바닐라'}, {'id': 36, 'title': '카라멜로'}, {'id': 136, 'title': 'Toccanto'}]"
44,에스페란사 데 콜롬비아,"[{'id': 1, 'title': '아마레티'}, {'id': 40, 'title': '코코넛 플레이버 오버 아이스'}, {'id': 48, 'title': '프레도 델리카토'}, {'id': 49, 'title': '프레도 인텐소'}, {'id': 61, 'title': '림인하 오버 아이스'}, {'id': 14, 'title': '인피니트 에스프레소'}, {'id': 114, 'title': '아이스 포르테'}, {'id': 115, 'title': '아이스 레제로'}, {'id': 126, 'title': '페퍼민트 핀휠 리미티드 에디션'}, {'id': 137, 'title': 'Tropical Coconut Flavor Over Ice'}]"
45,에티오피아,"[{'id': 19, 'title': '로사바야 데 콜롬비아'}, {'id': 43, 'title': '코지'}, {'id': 91, 'title': '디카페인 볼루토'}, {'id': 90, 'title': '볼루토'}, {'id': 2, 'title': '부케엘라 카 에티오피아'}, {'id': 81, 'title': '타무카 무 짐바브웨'}, {'id': 38, 'title': '초콜라티노'}, {'id': 36, 'title': '카라멜로'}, {'id': 68, 'title': '노치올라'}, {'id': 86, 'title': '바닐라'}]"
46,필터 스타일 인텐스,"[{'id': 130, 'title': 'Rich Chocolate'}, {'id': 128, 'title': '푸어오버 스타일 밀드'}, {'id': 121, 'title': '디카페인 멜로지오'}, {'id': 120, 'title': '멜로지오 부스트'}, {'id': 119, 'title': '멜로지오'}, {'id': 82, 'title': '도쿄 비발또 롱고'}, {'id': 139, 'title': 'Vivida B12'}, {'id': 88, 'title': '베네치아'}, {'id': 17, 'title': '리니시오 롱고'}, {'id': 55, 'title': '인도네시아'}]"
47,필터 스타일 밀드,"[{'id': 130, 'title': 'Rich Chocolate'}, {'id': 94, 'title': '알토 암브라토'}, {'id': 128, 'title': '푸어오버 스타일 밀드'}, {'id': 46, 'title': '필터 스타일 인텐스'}, {'id': 35, 'title': '카라멜 크레임 브륄레'}, {'id': 101, 'title': '초콜릿 퍼지'}, {'id': 100, 'title': '카라멜 쿠키'}, {'id': 138, 'title': 'Vanilla Custard Pie'}, {'id': 39, 'title': '코코아 트러플'}, {'id': 135, 'title': 'Sweet Vanilla'}]"
48,프레도 델리카토,"[{'id': 1, 'title': '아마레티'}, {'id': 40, 'title': '코코넛 플레이버 오버 아이스'}, {'id': 44, 'title': '에스페란사 데 콜롬비아'}, {'id': 49, 'title': '프레도 인텐소'}, {'id': 61, 'title': '림인하 오버 아이스'}, {'id': 14, 'title': '인피니트 에스프레소'}, {'id': 114, 'title': '아이스 포르테'}, {'id': 115, 'title': '아이스 레제로'}, {'id': 126, 'title': '페퍼민트 핀휠 리미티드 에디션'}, {'id': 137, 'title': 'Tropical Coconut Flavor Over Ice'}]"
49,프레도 인텐소,"[{'id': 1, 'title': '아마레티'}, {'id': 40, 'title': '코코넛 플레이버 오버 아이스'}, {'id': 44, 'title': '에스페란사 데 콜롬비아'}, {'id': 48, 'title': '프레도 델리카토'}, {'id': 61, 'title': '림인하 오버 아이스'}, {'id': 14, 'title': '인피니트 에스프레소'}, {'id': 114, 'title': '아이스 포르테'}, {'id': 115, 'title': '아이스 레제로'}, {'id': 126, 'title': '페퍼민트 핀휠 리미티드 에디션'}, {'id': 137, 'title': 'Tropical Coconut Flavor Over Ice'}]"
50,갈라파고스 스페셜 리저브,"[{'id': 118, 'title': '자마이카 블루 마운틴 리미티드 에디션'}, {'id': 57, 'title': '재마이카 블루 마운틴'}, {'id': 12, 'title': '포르티시오 롱고'}, {'id': 64, 'title': '밀라노 인텐소'}, {'id': 80, 'title': '스톡홀름 포티시오 롱고'}, {'id': 55, 'title': '인도네시아'}, {'id': 105, 'title': '더블 에스프레소 돌체'}, {'id': 71, 'title': '파리 에스프레소'}, {'id': 25, 'title': '아마하 아웨 우간다'}, {'id': 10, 'title': '포레스트 블랙'}]"
51,하와이 코나,"[{'id': 123, 'title': '니카라과 라 쿰플리다'}, {'id': 60, 'title': '라 쿰플리다 레피나다'}, {'id': 70, 'title': '파푸아뉴기니'}, {'id': 73, 'title': '펌킨 스파이스 케이크'}, {'id': 149, 'title': 'Infinitely Double Espresso'}, {'id': 112, 'title': '하와이 코나 리미티드 에디션'}, {'id': 81, 'title': '타무카 무 짐바브웨'}, {'id': 41, 'title': '콜롬비아'}, {'id': 72, 'title': '페루 오가닉'}, {'id': 78, 'title': '스쿠로'}]"
52,온두로스,"[{'id': 10, 'title': '포레스트 블랙'}, {'id': 27, 'title': '디카페인 아르페지오'}, {'id': 26, 'title': '아르페지오'}, {'id': 75, 'title': '리스트레또'}, {'id': 13, 'title': '인드리야'}, {'id': 76, 'title': '디카페인 리스트레또'}, {'id': 25, 'title': '아마하 아웨 우간다'}, {'id': 71, 'title': '파리 에스프레소'}, {'id': 125, 'title': '오라푸리오'}, {'id': 124, 'title': '오다시오'}]"
53,일 카페,"[{'id': 6, 'title': '다르칸'}, {'id': 54, 'title': '인디아'}, {'id': 59, 'title': '카자아르'}, {'id': 67, 'title': '나폴리'}, {'id': 63, 'title': '마이애미'}, {'id': 69, 'title': '노베첸토'}, {'id': 8, 'title': '엔비보 롱고'}, {'id': 18, 'title': '파리 블랙'}, {'id': 74, 'title': '리오데자네이루 에스프레소'}, {'id': 32, 'title': '까페지뇨 두 브라질'}]"
