idx,name_ko,recommendation
90,볼루토,"[{'id': 43, 'title': '코지'}, {'id': 91, 'title': '디카페인 볼루토'}, {'id': 38, 'title': '초콜라티노'}, {'id': 36, 'title': '카라멜로'}, {'id': 136, 'title': '토칸토'}]"
91,디카페인 볼루토,"[{'id': 43, 'title': '코지'}, {'id': 90, 'title': '볼루토'}, {'id': 38, 'title': '초콜라티노'}, {'id': 36, 'title': '카라멜로'}, {'id': 136, 'title': '토칸토'}]"
92,알티시오,"[{'id': 93, 'title': '디카페인 알티시오'}, {'id': 106, 'title': '더블 에스프레소 스쿠로'}, {'id': 103, 'title': '디아볼리토'}, {'id': 30, 'title': '까페시또 데 쿠바'}, {'id': 33, 'title': '케이프타운 엔비보 롱고'}]"
93,디카페인 알티시오,"[{'id': 92, 'title': '알티시오'}, {'id': 106, 'title': '더블 에스프레소 스쿠로'}, {'id': 103, 'title': '디아볼리토'}, {'id': 30, 'title': '까페시또 데 쿠바'}, {'id': 33, 'title': '케이프타운 엔비보 롱고'}]"
94,알토 암브라토,"[{'id': 121, 'title': '디카페인 멜로지오'}, {'id': 120, 'title': '멜로지오 부스트'}, {'id': 82, 'title': '도쿄 비발또 롱고'}, {'id': 139, 'title': '비비다 B12'}, {'id': 119, 'title': '멜로지오'}]"
95,알토 오니체,"[{'id': 127, 'title': '푸어오버 스타일 인텐소'}, {'id': 124, 'title': '오다시오'}, {'id': 128, 'title': '푸어오버 스타일 밀드'}, {'id': 71, 'title': '파리 에스프레소'}, {'id': 108, 'title': '디카페인 포르타도'}]"
96,아론디오,"[{'id': 98, 'title': '비앙코 포르테'}, {'id': 144, 'title': '디카페나토'}, {'id': 4, 'title': '카라멜리또'}, {'id': 5, 'title': '초콜라티노'}, {'id': 21, 'title': '바닐리오'}]"
97,비앙코 도피오,"[{'id': 37, 'title': '키아로'}, {'id': 143, 'title': '비안코 레게로'}, {'id': 123, 'title': '니카라과 라 쿰플리다'}, {'id': 51, 'title': '하와이 코나'}, {'id': 60, 'title': '라 쿰플리다 레피나다'}]"
98,비앙코 포르테,"[{'id': 96, 'title': '아론디오'}, {'id': 42, 'title': '코르토'}, {'id': 20, 'title': '토르타 디 노초올레'}, {'id': 44, 'title': '에스페란사 데 콜롬비아'}, {'id': 48, 'title': '프레도 델리카토'}]"
99,비앙코 피콜로,"[{'id': 123, 'title': '니카라과 라 쿰플리다'}, {'id': 70, 'title': '파푸아뉴기니'}, {'id': 51, 'title': '하와이 코나'}, {'id': 60, 'title': '라 쿰플리다 레피나다'}, {'id': 73, 'title': '펌킨 스파이스 케이크'}]"
100,카라멜 쿠키,"[{'id': 110, 'title': '골든 캐러멜'}, {'id': 129, 'title': '펌킨 스파이스 케이크 리미티드 에디션'}, {'id': 109, 'title': '징거브레드 리미티드 에디션'}, {'id': 111, 'title': '하프-카페이나토'}, {'id': 35, 'title': '카라멜 크레임 브륄레'}]"
101,초콜릿 퍼지,"[{'id': 110, 'title': '골든 캐러멜'}, {'id': 129, 'title': '펌킨 스파이스 케이크 리미티드 에디션'}, {'id': 109, 'title': '징거브레드 리미티드 에디션'}, {'id': 100, 'title': '카라멜 쿠키'}, {'id': 111, 'title': '하프-카페이나토'}]"
102,코스타리카,"[{'id': 94, 'title': '알토 암브라토'}, {'id': 83, 'title': '트리부트 투 밀라노'}, {'id': 88, 'title': '베네치아'}, {'id': 121, 'title': '디카페인 멜로지오'}, {'id': 82, 'title': '도쿄 비발또 롱고'}]"
103,디아볼리토,"[{'id': 33, 'title': '케이프타운 엔비보 롱고'}, {'id': 74, 'title': '리오데자네이루 에스프레소'}, {'id': 8, 'title': '엔비보 롱고'}, {'id': 69, 'title': '노베첸토'}, {'id': 32, 'title': '까페지뇨 두 브라질'}]"
