2023-03-22 12:47:31\t500\tGET /api/login/oauth2/code/kakao?code=kkkNCcnaNeewC61uE4Qf8Adl1rGc9ROPpZFTSTnCLfqDTAWVXfUTmtB6AkGzQjP5Lv1mkQo9dZwAAAGHB23VAQ&state=WHIMcgcyapPbnoxCaN51VdhUV-PKFQeVPi_i4ivhS2A%3D HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t89
2023-03-22 12:48:47\t302\tGET /api/oauth2/authorization/kakao HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t-
2023-03-22 12:48:49\t302\tGET /api/oauth2/authorization/kakao HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t-
2023-03-22 12:48:50\t500\tGET /api/login/oauth2/code/kakao?code=Unzb6RHB_Qdr7reILwB6zaO6ZiRdQl_ilo7iU767sRpVS_E18anAMqyfAA-qO1c9w_xqlQorDKYAAAGHB28IUg&state=nr_mQZQ12cMlLo9UyYNmD3jGJJsPr1L6sYpuuT2EwiM%3D HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t89
2023-03-22 12:56:13\t302\tGET /api/oauth2/authorization/kakao HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t-
2023-03-22 12:56:13\t302\tGET /api/oauth2/authorization/kakao HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t-
2023-03-22 12:56:14\t500\tGET /api/login/oauth2/code/kakao?code=LSOp-RLepWMEiCUFwjEujAGk2XyyH9dKxVtSlQ96z9VYtZIVMJSbODinpjSRz_jrlbtzpgo9cusAAAGHB3XM8Q&state=qA4cjEEImVfp_ms_BS8fqjhqeO7VK4qpgm_BjFXVRhQ%3D HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t89
2023-03-22 13:17:58\t302\tGET /api/oauth2/authorization/kakao HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t-
2023-03-22 13:17:58\t302\tGET /api/oauth2/authorization/kakao HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t-
2023-03-22 13:17:58\t500\tGET /api/login/oauth2/code/kakao?code=IJqUzhkyiBuUJ_K7o-HqeriUyATMrXcr9ZcqTdc3ZhFvC0Yuxkt61lMDW1SqVOlBI3rrMQorDNMAAAGHB4m1Vg&state=B2tYZ9bVbH-zu2FK0kLT3rH9EdO0tVln2J15RwtWBnc%3D HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t89
2023-03-22 13:21:12\t302\tGET /api/oauth2/authorization/kakao HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t-
